timestamp_utc,phase,repository,term,normalized_term,reason,closest_candidate,why_failed
2026-09-11T14:10:37Z,zenodo,zenodo:15220186,record_lookup,record_lookup,FETCH_ERROR,N/A,URLError
2026-09-11T14:10:37Z,zenodo,zenodo:15220196,record_lookup,record_lookup,FETCH_ERROR,N/A,URLError
2026-09-11T14:10:37Z,zenodo,zenodo:15220224,record_lookup,record_lookup,FETCH_ERROR,N/A,URLError
2026-09-11T14:10:37Z,zenodo,zenodo:15768350,record_lookup,record_lookup,FETCH_ERROR,N/A,URLError
2026-09-11T14:10:37Z,zenodo,zenodo:16399978,record_lookup,record_lookup,FETCH_ERROR,N/A,URLError
2026-09-11T14:10:37Z,distinctive_hunt,MULTI,CarrierJet,carrierjet,NOT_FOUND,NONE,No accessible pre-cutoff candidate with required operation-level structure.
2026-09-11T14:10:37Z,distinctive_hunt,MULTI,CycleState,cyclestate,NOT_FOUND,NONE,No accessible pre-cutoff candidate with required operation-level structure.
2026-09-11T14:10:37Z,distinctive_hunt,MULTI,u_(n+1) = u_n + C_n,u_(n+1) = u_n + c_n,NOT_FOUND,NONE,No accessible pre-cutoff candidate with required operation-level structure.
2026-09-11T14:10:37Z,distinctive_hunt,MULTI,R_(n+1) - R_n,r_(n+1) - r_n,NOT_FOUND,NONE,No accessible pre-cutoff candidate with required operation-level structure.
2026-09-11T14:10:37Z,distinctive_hunt,MULTI,S_n → C_n → S_(n+1),s_n → c_n → s_(n+1),NOT_FOUND,NONE,No accessible pre-cutoff candidate with required operation-level structure.
2026-09-11T14:10:37Z,distinctive_hunt,MULTI,div S = R,div s = r,NOT_FOUND,NONE,No accessible pre-cutoff candidate with required operation-level structure.
2026-09-11T14:10:37Z,distinctive_hunt,MULTI,f = -R,f = -r,NOT_FOUND,NONE,No accessible pre-cutoff candidate with required operation-level structure.
2026-09-11T14:10:37Z,distinctive_hunt,MULTI,term-by-term cancellation,term-by-term cancellation,NOT_FOUND,NONE,No accessible pre-cutoff candidate with required operation-level structure.
2026-09-11T14:10:37Z,distinctive_hunt,MULTI,smooth-forcing cancellation,smooth-forcing cancellation,NOT_FOUND,NONE,No accessible pre-cutoff candidate with required operation-level structure.
2026-09-11T14:10:37Z,distinctive_hunt,MULTI,pressure-tail cancellation,pressure-tail cancellation,NOT_FOUND,NONE,No accessible pre-cutoff candidate with required operation-level structure.
2026-09-11T14:10:37Z,distinctive_hunt,MULTI,support/localization architecture,support/localization architecture,NOT_FOUND,NONE,No accessible pre-cutoff candidate with required operation-level structure.
2026-09-11T14:10:37Z,distinctive_hunt,MULTI,primitive/cutoff activation,primitive/cutoff activation,NOT_FOUND,NONE,No accessible pre-cutoff candidate with required operation-level structure.
2026-09-11T14:10:37Z,distinctive_hunt,MULTI,StressActivation,stressactivation,NOT_FOUND,NONE,No accessible pre-cutoff candidate with required operation-level structure.
2026-09-11T14:10:37Z,distinctive_hunt,MULTI,TransitionRamp,transitionramp,NOT_FOUND,NONE,No accessible pre-cutoff candidate with required operation-level structure.
2026-09-11T14:10:37Z,distinctive_hunt,MULTI,ActivationHolomorphic,activationholomorphic,NOT_FOUND,NONE,No accessible pre-cutoff candidate with required operation-level structure.
2026-09-11T14:10:37Z,distinctive_hunt,MULTI,MovingMomentBounds,movingmomentbounds,NOT_FOUND,NONE,No accessible pre-cutoff candidate with required operation-level structure.
2026-09-11T14:10:37Z,distinctive_hunt,MULTI,moment repair,moment repair,NOT_FOUND,NONE,No accessible pre-cutoff candidate with required operation-level structure.
2026-09-11T14:10:37Z,distinctive_hunt,MULTI,gauge/debt accounting,gauge/debt accounting,NOT_FOUND,NONE,No accessible pre-cutoff candidate with required operation-level structure.
2026-09-11T14:10:37Z,distinctive_hunt,MULTI,Volterra recursion,volterra recursion,NOT_FOUND,NONE,No accessible pre-cutoff candidate with required operation-level structure.
2026-09-11T14:10:37Z,distinctive_hunt,MULTI,analytic recursive machinery,analytic recursive machinery,NOT_FOUND,NONE,No accessible pre-cutoff candidate with required operation-level structure.
2026-09-11T14:10:37Z,distinctive_hunt,MULTI,complete parameter hierarchy,complete parameter hierarchy,NOT_FOUND,NONE,No accessible pre-cutoff candidate with required operation-level structure.
