target_object_id,repository,commit_sha,parent_sha,tree_sha,blob_sha,parent_blob,file,exact_excerpt,parent_diff,author_date,committer_date,independent_hash,retrieval_timestamp,tier
OPENAI-37477,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Millennium: problems/NavierStokes/local-global-bridge.md,self-similar or asymptotically self-similar blowup strategy,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,b23f98dbaf5da916fd649742d49ee99ac2225d9fb9ec5682fda8965a2a949867,2026-09-11T14:10:37Z,TIER_2
OPENAI-37476,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Millennium: problems/NavierStokes/local-global-bridge.md,self-similar or asymptotically self-similar blowup strategy,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,b23f98dbaf5da916fd649742d49ee99ac2225d9fb9ec5682fda8965a2a949867,2026-09-11T14:10:37Z,TIER_2
OPENAI-37450,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Millennium: problems/NavierStokes/local-global-bridge.md,self-similar or asymptotically self-similar blowup strategy,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,b23f98dbaf5da916fd649742d49ee99ac2225d9fb9ec5682fda8965a2a949867,2026-09-11T14:10:37Z,TIER_2
OPENAI-26715,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Millennium: problems/NavierStokes/local-global-bridge.md,self-similar or asymptotically self-similar blowup strategy,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,b23f98dbaf5da916fd649742d49ee99ac2225d9fb9ec5682fda8965a2a949867,2026-09-11T14:10:37Z,TIER_2
OPENAI-26711,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Millennium: problems/NavierStokes/local-global-bridge.md,self-similar or asymptotically self-similar blowup strategy,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,b23f98dbaf5da916fd649742d49ee99ac2225d9fb9ec5682fda8965a2a949867,2026-09-11T14:10:37Z,TIER_2
OPENAI-26709,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Millennium: problems/NavierStokes/local-global-bridge.md,self-similar or asymptotically self-similar blowup strategy,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,b23f98dbaf5da916fd649742d49ee99ac2225d9fb9ec5682fda8965a2a949867,2026-09-11T14:10:37Z,TIER_2
OPENAI-26707,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Millennium: problems/NavierStokes/local-global-bridge.md,self-similar or asymptotically self-similar blowup strategy,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,b23f98dbaf5da916fd649742d49ee99ac2225d9fb9ec5682fda8965a2a949867,2026-09-11T14:10:37Z,TIER_2
OPENAI-26704,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Millennium: problems/NavierStokes/local-global-bridge.md,self-similar or asymptotically self-similar blowup strategy,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,b23f98dbaf5da916fd649742d49ee99ac2225d9fb9ec5682fda8965a2a949867,2026-09-11T14:10:37Z,TIER_2
OPENAI-26701,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Millennium: problems/NavierStokes/local-global-bridge.md,self-similar or asymptotically self-similar blowup strategy,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,b23f98dbaf5da916fd649742d49ee99ac2225d9fb9ec5682fda8965a2a949867,2026-09-11T14:10:37Z,TIER_2
OPENAI-26690,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Millennium: problems/NavierStokes/local-global-bridge.md,self-similar or asymptotically self-similar blowup strategy,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,b23f98dbaf5da916fd649742d49ee99ac2225d9fb9ec5682fda8965a2a949867,2026-09-11T14:10:37Z,TIER_2
OPENAI-33112,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Millennium: docs/universal-tree/05-methods.md,scaling + concentration-compactness + profile decomposition + Liouville pipeline,UNKNOWN,UNKNOWN,UNKNOWN,e4294bbc0e32ca49a11e31b71a002629a6876d696d8dd433ca3b8d4c1f109489,2026-09-11T14:10:37Z,TIER_2
OPENAI-40085,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reference-jet / primitive-jet style machinery,UNKNOWN,UNKNOWN,UNKNOWN,b77b0a8b32e0c728467f598ee5a2c861678a3be8213aa6f9554d17d08d7e56fb,2026-09-11T14:10:37Z,TIER_4
OPENAI-39222,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reference-jet / primitive-jet style machinery,UNKNOWN,UNKNOWN,UNKNOWN,b77b0a8b32e0c728467f598ee5a2c861678a3be8213aa6f9554d17d08d7e56fb,2026-09-11T14:10:37Z,TIER_4
OPENAI-39221,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reference-jet / primitive-jet style machinery,UNKNOWN,UNKNOWN,UNKNOWN,b77b0a8b32e0c728467f598ee5a2c861678a3be8213aa6f9554d17d08d7e56fb,2026-09-11T14:10:37Z,TIER_4
OPENAI-39202,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reference-jet / primitive-jet style machinery,UNKNOWN,UNKNOWN,UNKNOWN,b77b0a8b32e0c728467f598ee5a2c861678a3be8213aa6f9554d17d08d7e56fb,2026-09-11T14:10:37Z,TIER_4
OPENAI-35087,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reference-jet / primitive-jet style machinery,UNKNOWN,UNKNOWN,UNKNOWN,b77b0a8b32e0c728467f598ee5a2c861678a3be8213aa6f9554d17d08d7e56fb,2026-09-11T14:10:37Z,TIER_4
OPENAI-35086,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reference-jet / primitive-jet style machinery,UNKNOWN,UNKNOWN,UNKNOWN,b77b0a8b32e0c728467f598ee5a2c861678a3be8213aa6f9554d17d08d7e56fb,2026-09-11T14:10:37Z,TIER_4
OPENAI-35077,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reference-jet / primitive-jet style machinery,UNKNOWN,UNKNOWN,UNKNOWN,b77b0a8b32e0c728467f598ee5a2c861678a3be8213aa6f9554d17d08d7e56fb,2026-09-11T14:10:37Z,TIER_4
OPENAI-35076,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reference-jet / primitive-jet style machinery,UNKNOWN,UNKNOWN,UNKNOWN,b77b0a8b32e0c728467f598ee5a2c861678a3be8213aa6f9554d17d08d7e56fb,2026-09-11T14:10:37Z,TIER_4
OPENAI-34893,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reference-jet / primitive-jet style machinery,UNKNOWN,UNKNOWN,UNKNOWN,b77b0a8b32e0c728467f598ee5a2c861678a3be8213aa6f9554d17d08d7e56fb,2026-09-11T14:10:37Z,TIER_4
OPENAI-34892,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reference-jet / primitive-jet style machinery,UNKNOWN,UNKNOWN,UNKNOWN,b77b0a8b32e0c728467f598ee5a2c861678a3be8213aa6f9554d17d08d7e56fb,2026-09-11T14:10:37Z,TIER_4
OPENAI-38810,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,smooth forcing cancellation and pressure-tail cancellation machinery,UNKNOWN,UNKNOWN,UNKNOWN,204ce0759a915417bd66763aaa0e40e9c7fb8c8de47919bc003f1050ebb0eafa,2026-09-11T14:10:37Z,TIER_4
OPENAI-35410,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,smooth forcing cancellation and pressure-tail cancellation machinery,UNKNOWN,UNKNOWN,UNKNOWN,204ce0759a915417bd66763aaa0e40e9c7fb8c8de47919bc003f1050ebb0eafa,2026-09-11T14:10:37Z,TIER_4
OPENAI-35408,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,smooth forcing cancellation and pressure-tail cancellation machinery,UNKNOWN,UNKNOWN,UNKNOWN,204ce0759a915417bd66763aaa0e40e9c7fb8c8de47919bc003f1050ebb0eafa,2026-09-11T14:10:37Z,TIER_4
OPENAI-35406,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,smooth forcing cancellation and pressure-tail cancellation machinery,UNKNOWN,UNKNOWN,UNKNOWN,204ce0759a915417bd66763aaa0e40e9c7fb8c8de47919bc003f1050ebb0eafa,2026-09-11T14:10:37Z,TIER_4
OPENAI-35399,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,smooth forcing cancellation and pressure-tail cancellation machinery,UNKNOWN,UNKNOWN,UNKNOWN,204ce0759a915417bd66763aaa0e40e9c7fb8c8de47919bc003f1050ebb0eafa,2026-09-11T14:10:37Z,TIER_4
OPENAI-35398,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,smooth forcing cancellation and pressure-tail cancellation machinery,UNKNOWN,UNKNOWN,UNKNOWN,204ce0759a915417bd66763aaa0e40e9c7fb8c8de47919bc003f1050ebb0eafa,2026-09-11T14:10:37Z,TIER_4
OPENAI-31626,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,smooth forcing cancellation and pressure-tail cancellation machinery,UNKNOWN,UNKNOWN,UNKNOWN,204ce0759a915417bd66763aaa0e40e9c7fb8c8de47919bc003f1050ebb0eafa,2026-09-11T14:10:37Z,TIER_4
OPENAI-29672,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,smooth forcing cancellation and pressure-tail cancellation machinery,UNKNOWN,UNKNOWN,UNKNOWN,204ce0759a915417bd66763aaa0e40e9c7fb8c8de47919bc003f1050ebb0eafa,2026-09-11T14:10:37Z,TIER_4
OPENAI-29671,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,smooth forcing cancellation and pressure-tail cancellation machinery,UNKNOWN,UNKNOWN,UNKNOWN,204ce0759a915417bd66763aaa0e40e9c7fb8c8de47919bc003f1050ebb0eafa,2026-09-11T14:10:37Z,TIER_4
OPENAI-29653,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,smooth forcing cancellation and pressure-tail cancellation machinery,UNKNOWN,UNKNOWN,UNKNOWN,204ce0759a915417bd66763aaa0e40e9c7fb8c8de47919bc003f1050ebb0eafa,2026-09-11T14:10:37Z,TIER_4
OPENAI-39469,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,P_N[(u\cdot\nabla)u]\neq (P_Nu)\cdot\nabla(P_Nu),UNKNOWN,2025-12-18,2025-12-18,7ea1475d4bbf904472895a001f318a0d9fe66e0a7090f345124c4e71621a3b93,2026-09-11T14:10:37Z,TIER_4
OPENAI-38341,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,P_N[(u\cdot\nabla)u]\neq (P_Nu)\cdot\nabla(P_Nu),UNKNOWN,2025-12-18,2025-12-18,7ea1475d4bbf904472895a001f318a0d9fe66e0a7090f345124c4e71621a3b93,2026-09-11T14:10:37Z,TIER_4
OPENAI-37488,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,P_N[(u\cdot\nabla)u]\neq (P_Nu)\cdot\nabla(P_Nu),UNKNOWN,2025-12-18,2025-12-18,7ea1475d4bbf904472895a001f318a0d9fe66e0a7090f345124c4e71621a3b93,2026-09-11T14:10:37Z,TIER_4
OPENAI-35548,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,P_N[(u\cdot\nabla)u]\neq (P_Nu)\cdot\nabla(P_Nu),UNKNOWN,2025-12-18,2025-12-18,7ea1475d4bbf904472895a001f318a0d9fe66e0a7090f345124c4e71621a3b93,2026-09-11T14:10:37Z,TIER_4
OPENAI-34674,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,P_N[(u\cdot\nabla)u]\neq (P_Nu)\cdot\nabla(P_Nu),UNKNOWN,2025-12-18,2025-12-18,7ea1475d4bbf904472895a001f318a0d9fe66e0a7090f345124c4e71621a3b93,2026-09-11T14:10:37Z,TIER_4
OPENAI-34404,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,P_N[(u\cdot\nabla)u]\neq (P_Nu)\cdot\nabla(P_Nu),UNKNOWN,2025-12-18,2025-12-18,7ea1475d4bbf904472895a001f318a0d9fe66e0a7090f345124c4e71621a3b93,2026-09-11T14:10:37Z,TIER_4
OPENAI-34383,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,P_N[(u\cdot\nabla)u]\neq (P_Nu)\cdot\nabla(P_Nu),UNKNOWN,2025-12-18,2025-12-18,7ea1475d4bbf904472895a001f318a0d9fe66e0a7090f345124c4e71621a3b93,2026-09-11T14:10:37Z,TIER_4
OPENAI-33354,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,P_N[(u\cdot\nabla)u]\neq (P_Nu)\cdot\nabla(P_Nu),UNKNOWN,2025-12-18,2025-12-18,7ea1475d4bbf904472895a001f318a0d9fe66e0a7090f345124c4e71621a3b93,2026-09-11T14:10:37Z,TIER_4
OPENAI-32906,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,P_N[(u\cdot\nabla)u]\neq (P_Nu)\cdot\nabla(P_Nu),UNKNOWN,2025-12-18,2025-12-18,7ea1475d4bbf904472895a001f318a0d9fe66e0a7090f345124c4e71621a3b93,2026-09-11T14:10:37Z,TIER_4
OPENAI-32851,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,P_N[(u\cdot\nabla)u]\neq (P_Nu)\cdot\nabla(P_Nu),UNKNOWN,2025-12-18,2025-12-18,7ea1475d4bbf904472895a001f318a0d9fe66e0a7090f345124c4e71621a3b93,2026-09-11T14:10:37Z,TIER_4
OPENAI-39469,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,u=P_\Lambda u+(I-P_\Lambda)u,UNKNOWN,2025-12-18,2025-12-18,0d7d7f1aef1110b06eb872544089a60aefaf72f396e1c31d6304297084ed7499,2026-09-11T14:10:37Z,TIER_4
OPENAI-38341,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,u=P_\Lambda u+(I-P_\Lambda)u,UNKNOWN,2025-12-18,2025-12-18,0d7d7f1aef1110b06eb872544089a60aefaf72f396e1c31d6304297084ed7499,2026-09-11T14:10:37Z,TIER_4
OPENAI-37488,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,u=P_\Lambda u+(I-P_\Lambda)u,UNKNOWN,2025-12-18,2025-12-18,0d7d7f1aef1110b06eb872544089a60aefaf72f396e1c31d6304297084ed7499,2026-09-11T14:10:37Z,TIER_4
OPENAI-35548,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,u=P_\Lambda u+(I-P_\Lambda)u,UNKNOWN,2025-12-18,2025-12-18,0d7d7f1aef1110b06eb872544089a60aefaf72f396e1c31d6304297084ed7499,2026-09-11T14:10:37Z,TIER_4
OPENAI-34674,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,u=P_\Lambda u+(I-P_\Lambda)u,UNKNOWN,2025-12-18,2025-12-18,0d7d7f1aef1110b06eb872544089a60aefaf72f396e1c31d6304297084ed7499,2026-09-11T14:10:37Z,TIER_4
OPENAI-34404,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,u=P_\Lambda u+(I-P_\Lambda)u,UNKNOWN,2025-12-18,2025-12-18,0d7d7f1aef1110b06eb872544089a60aefaf72f396e1c31d6304297084ed7499,2026-09-11T14:10:37Z,TIER_4
OPENAI-34383,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,u=P_\Lambda u+(I-P_\Lambda)u,UNKNOWN,2025-12-18,2025-12-18,0d7d7f1aef1110b06eb872544089a60aefaf72f396e1c31d6304297084ed7499,2026-09-11T14:10:37Z,TIER_4
OPENAI-33354,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,u=P_\Lambda u+(I-P_\Lambda)u,UNKNOWN,2025-12-18,2025-12-18,0d7d7f1aef1110b06eb872544089a60aefaf72f396e1c31d6304297084ed7499,2026-09-11T14:10:37Z,TIER_4
OPENAI-32906,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,u=P_\Lambda u+(I-P_\Lambda)u,UNKNOWN,2025-12-18,2025-12-18,0d7d7f1aef1110b06eb872544089a60aefaf72f396e1c31d6304297084ed7499,2026-09-11T14:10:37Z,TIER_4
OPENAI-32851,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,u=P_\Lambda u+(I-P_\Lambda)u,UNKNOWN,2025-12-18,2025-12-18,0d7d7f1aef1110b06eb872544089a60aefaf72f396e1c31d6304297084ed7499,2026-09-11T14:10:37Z,TIER_4
OPENAI-40582,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,R_\Lambda(u)=\text{high-frequency residual},UNKNOWN,2025-12-18,2025-12-18,30bb1a6ff9786b1e30b8d6bfc6dfb5f36a8fba295cf8f3f29af3647932107da8,2026-09-11T14:10:37Z,TIER_4
OPENAI-40581,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,R_\Lambda(u)=\text{high-frequency residual},UNKNOWN,2025-12-18,2025-12-18,30bb1a6ff9786b1e30b8d6bfc6dfb5f36a8fba295cf8f3f29af3647932107da8,2026-09-11T14:10:37Z,TIER_4
OPENAI-40575,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,R_\Lambda(u)=\text{high-frequency residual},UNKNOWN,2025-12-18,2025-12-18,30bb1a6ff9786b1e30b8d6bfc6dfb5f36a8fba295cf8f3f29af3647932107da8,2026-09-11T14:10:37Z,TIER_4
OPENAI-40574,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,R_\Lambda(u)=\text{high-frequency residual},UNKNOWN,2025-12-18,2025-12-18,30bb1a6ff9786b1e30b8d6bfc6dfb5f36a8fba295cf8f3f29af3647932107da8,2026-09-11T14:10:37Z,TIER_4
OPENAI-40372,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,R_\Lambda(u)=\text{high-frequency residual},UNKNOWN,2025-12-18,2025-12-18,30bb1a6ff9786b1e30b8d6bfc6dfb5f36a8fba295cf8f3f29af3647932107da8,2026-09-11T14:10:37Z,TIER_4
OPENAI-40371,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,R_\Lambda(u)=\text{high-frequency residual},UNKNOWN,2025-12-18,2025-12-18,30bb1a6ff9786b1e30b8d6bfc6dfb5f36a8fba295cf8f3f29af3647932107da8,2026-09-11T14:10:37Z,TIER_4
OPENAI-40369,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,R_\Lambda(u)=\text{high-frequency residual},UNKNOWN,2025-12-18,2025-12-18,30bb1a6ff9786b1e30b8d6bfc6dfb5f36a8fba295cf8f3f29af3647932107da8,2026-09-11T14:10:37Z,TIER_4
OPENAI-40365,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,priority/08_expanded_git_provenance_dossier.md,R_\Lambda(u)=\text{high-frequency residual},UNKNOWN,2025-12-18,2025-12-18,30bb1a6ff9786b1e30b8d6bfc6dfb5f36a8fba295cf8f3f29af3647932107da8,2026-09-11T14:10:37Z,TIER_4
