target_object_id,repository,commit_sha,parent_sha,tree_sha,blob_sha,author_date,committer_date,file_path,previous_path,exact_expression,normalized_expression,parent_diff,reason_for_candidate
OPENAI-26707,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,Millennium: problems/NavierStokes/local-global-bridge.md,UNKNOWN,self-similar or asymptotically self-similar blowup strategy,self-similar or asymptotically self-similar blowup strategy,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=1
OPENAI-26704,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,Millennium: problems/NavierStokes/local-global-bridge.md,UNKNOWN,self-similar or asymptotically self-similar blowup strategy,self-similar or asymptotically self-similar blowup strategy,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=1
OPENAI-26701,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,Millennium: problems/NavierStokes/local-global-bridge.md,UNKNOWN,self-similar or asymptotically self-similar blowup strategy,self-similar or asymptotically self-similar blowup strategy,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=1
OPENAI-26690,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,Millennium: problems/NavierStokes/local-global-bridge.md,UNKNOWN,self-similar or asymptotically self-similar blowup strategy,self-similar or asymptotically self-similar blowup strategy,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=1
OPENAI-33112,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Millennium: docs/universal-tree/05-methods.md,UNKNOWN,scaling + concentration-compactness + profile decomposition + Liouville pipeline,scaling + concentration-compactness + profile decomposition + liouville pipeline,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=1
OPENAI-40085,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reference-jet / primitive-jet style machinery,reference-jet / primitive-jet style machinery,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-39222,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reference-jet / primitive-jet style machinery,reference-jet / primitive-jet style machinery,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-39221,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reference-jet / primitive-jet style machinery,reference-jet / primitive-jet style machinery,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-39202,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reference-jet / primitive-jet style machinery,reference-jet / primitive-jet style machinery,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-35087,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reference-jet / primitive-jet style machinery,reference-jet / primitive-jet style machinery,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-35086,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reference-jet / primitive-jet style machinery,reference-jet / primitive-jet style machinery,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-35077,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reference-jet / primitive-jet style machinery,reference-jet / primitive-jet style machinery,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-35076,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reference-jet / primitive-jet style machinery,reference-jet / primitive-jet style machinery,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-34893,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reference-jet / primitive-jet style machinery,reference-jet / primitive-jet style machinery,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-34892,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reference-jet / primitive-jet style machinery,reference-jet / primitive-jet style machinery,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-38810,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,smooth forcing cancellation and pressure-tail cancellation machinery,smooth forcing cancellation and pressure-tail cancellation machinery,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-35410,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,smooth forcing cancellation and pressure-tail cancellation machinery,smooth forcing cancellation and pressure-tail cancellation machinery,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-35408,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,smooth forcing cancellation and pressure-tail cancellation machinery,smooth forcing cancellation and pressure-tail cancellation machinery,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-35406,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,smooth forcing cancellation and pressure-tail cancellation machinery,smooth forcing cancellation and pressure-tail cancellation machinery,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-35399,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,smooth forcing cancellation and pressure-tail cancellation machinery,smooth forcing cancellation and pressure-tail cancellation machinery,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-35398,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,smooth forcing cancellation and pressure-tail cancellation machinery,smooth forcing cancellation and pressure-tail cancellation machinery,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-31626,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,smooth forcing cancellation and pressure-tail cancellation machinery,smooth forcing cancellation and pressure-tail cancellation machinery,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-29672,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,smooth forcing cancellation and pressure-tail cancellation machinery,smooth forcing cancellation and pressure-tail cancellation machinery,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-29671,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,smooth forcing cancellation and pressure-tail cancellation machinery,smooth forcing cancellation and pressure-tail cancellation machinery,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-29653,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,smooth forcing cancellation and pressure-tail cancellation machinery,smooth forcing cancellation and pressure-tail cancellation machinery,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-39469,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,P_N[(u\cdot\nabla)u]\neq (P_Nu)\cdot\nabla(P_Nu),p_n[(u\cdot\nabla)u]\neq (p_nu)\cdot\nabla(p_nu),UNKNOWN,reported_formula_block;token_overlap=1
OPENAI-38341,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,P_N[(u\cdot\nabla)u]\neq (P_Nu)\cdot\nabla(P_Nu),p_n[(u\cdot\nabla)u]\neq (p_nu)\cdot\nabla(p_nu),UNKNOWN,reported_formula_block;token_overlap=1
OPENAI-37488,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,P_N[(u\cdot\nabla)u]\neq (P_Nu)\cdot\nabla(P_Nu),p_n[(u\cdot\nabla)u]\neq (p_nu)\cdot\nabla(p_nu),UNKNOWN,reported_formula_block;token_overlap=1
OPENAI-35548,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,P_N[(u\cdot\nabla)u]\neq (P_Nu)\cdot\nabla(P_Nu),p_n[(u\cdot\nabla)u]\neq (p_nu)\cdot\nabla(p_nu),UNKNOWN,reported_formula_block;token_overlap=1
OPENAI-34674,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,P_N[(u\cdot\nabla)u]\neq (P_Nu)\cdot\nabla(P_Nu),p_n[(u\cdot\nabla)u]\neq (p_nu)\cdot\nabla(p_nu),UNKNOWN,reported_formula_block;token_overlap=1
OPENAI-34404,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,P_N[(u\cdot\nabla)u]\neq (P_Nu)\cdot\nabla(P_Nu),p_n[(u\cdot\nabla)u]\neq (p_nu)\cdot\nabla(p_nu),UNKNOWN,reported_formula_block;token_overlap=1
OPENAI-34383,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,P_N[(u\cdot\nabla)u]\neq (P_Nu)\cdot\nabla(P_Nu),p_n[(u\cdot\nabla)u]\neq (p_nu)\cdot\nabla(p_nu),UNKNOWN,reported_formula_block;token_overlap=1
OPENAI-33354,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,P_N[(u\cdot\nabla)u]\neq (P_Nu)\cdot\nabla(P_Nu),p_n[(u\cdot\nabla)u]\neq (p_nu)\cdot\nabla(p_nu),UNKNOWN,reported_formula_block;token_overlap=1
OPENAI-32906,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,P_N[(u\cdot\nabla)u]\neq (P_Nu)\cdot\nabla(P_Nu),p_n[(u\cdot\nabla)u]\neq (p_nu)\cdot\nabla(p_nu),UNKNOWN,reported_formula_block;token_overlap=1
OPENAI-32851,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,P_N[(u\cdot\nabla)u]\neq (P_Nu)\cdot\nabla(P_Nu),p_n[(u\cdot\nabla)u]\neq (p_nu)\cdot\nabla(p_nu),UNKNOWN,reported_formula_block;token_overlap=1
OPENAI-39469,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,u=P_\Lambda u+(I-P_\Lambda)u,u=p_\lambda u+(i-p_\lambda)u,UNKNOWN,reported_formula_block;token_overlap=1
OPENAI-38341,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,u=P_\Lambda u+(I-P_\Lambda)u,u=p_\lambda u+(i-p_\lambda)u,UNKNOWN,reported_formula_block;token_overlap=1
OPENAI-37488,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,u=P_\Lambda u+(I-P_\Lambda)u,u=p_\lambda u+(i-p_\lambda)u,UNKNOWN,reported_formula_block;token_overlap=1
OPENAI-35548,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,u=P_\Lambda u+(I-P_\Lambda)u,u=p_\lambda u+(i-p_\lambda)u,UNKNOWN,reported_formula_block;token_overlap=1
OPENAI-34674,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,u=P_\Lambda u+(I-P_\Lambda)u,u=p_\lambda u+(i-p_\lambda)u,UNKNOWN,reported_formula_block;token_overlap=1
OPENAI-34404,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,u=P_\Lambda u+(I-P_\Lambda)u,u=p_\lambda u+(i-p_\lambda)u,UNKNOWN,reported_formula_block;token_overlap=1
OPENAI-34383,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,u=P_\Lambda u+(I-P_\Lambda)u,u=p_\lambda u+(i-p_\lambda)u,UNKNOWN,reported_formula_block;token_overlap=1
OPENAI-33354,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,u=P_\Lambda u+(I-P_\Lambda)u,u=p_\lambda u+(i-p_\lambda)u,UNKNOWN,reported_formula_block;token_overlap=1
OPENAI-32906,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,u=P_\Lambda u+(I-P_\Lambda)u,u=p_\lambda u+(i-p_\lambda)u,UNKNOWN,reported_formula_block;token_overlap=1
OPENAI-32851,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,u=P_\Lambda u+(I-P_\Lambda)u,u=p_\lambda u+(i-p_\lambda)u,UNKNOWN,reported_formula_block;token_overlap=1
OPENAI-40582,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,R_\Lambda(u)=\text{high-frequency residual},r_\lambda(u)=\text{high-frequency residual},UNKNOWN,reported_formula_block;token_overlap=2
OPENAI-40581,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,R_\Lambda(u)=\text{high-frequency residual},r_\lambda(u)=\text{high-frequency residual},UNKNOWN,reported_formula_block;token_overlap=2
OPENAI-40575,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,R_\Lambda(u)=\text{high-frequency residual},r_\lambda(u)=\text{high-frequency residual},UNKNOWN,reported_formula_block;token_overlap=2
OPENAI-40574,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,R_\Lambda(u)=\text{high-frequency residual},r_\lambda(u)=\text{high-frequency residual},UNKNOWN,reported_formula_block;token_overlap=2
OPENAI-40372,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,R_\Lambda(u)=\text{high-frequency residual},r_\lambda(u)=\text{high-frequency residual},UNKNOWN,reported_formula_block;token_overlap=2
OPENAI-40371,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,R_\Lambda(u)=\text{high-frequency residual},r_\lambda(u)=\text{high-frequency residual},UNKNOWN,reported_formula_block;token_overlap=2
OPENAI-40369,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,R_\Lambda(u)=\text{high-frequency residual},r_\lambda(u)=\text{high-frequency residual},UNKNOWN,reported_formula_block;token_overlap=2
OPENAI-40365,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,R_\Lambda(u)=\text{high-frequency residual},r_\lambda(u)=\text{high-frequency residual},UNKNOWN,reported_formula_block;token_overlap=2
OPENAI-40364,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,R_\Lambda(u)=\text{high-frequency residual},r_\lambda(u)=\text{high-frequency residual},UNKNOWN,reported_formula_block;token_overlap=2
OPENAI-40363,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,R_\Lambda(u)=\text{high-frequency residual},r_\lambda(u)=\text{high-frequency residual},UNKNOWN,reported_formula_block;token_overlap=2
OPENAI-39469,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,R(u)=\|u-P_Nu\|^2,r(u)=\|u-p_nu\|^2,UNKNOWN,reported_formula_block;token_overlap=1
OPENAI-38341,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,R(u)=\|u-P_Nu\|^2,r(u)=\|u-p_nu\|^2,UNKNOWN,reported_formula_block;token_overlap=1
OPENAI-37488,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,R(u)=\|u-P_Nu\|^2,r(u)=\|u-p_nu\|^2,UNKNOWN,reported_formula_block;token_overlap=1
OPENAI-35548,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,R(u)=\|u-P_Nu\|^2,r(u)=\|u-p_nu\|^2,UNKNOWN,reported_formula_block;token_overlap=1
OPENAI-34674,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,R(u)=\|u-P_Nu\|^2,r(u)=\|u-p_nu\|^2,UNKNOWN,reported_formula_block;token_overlap=1
OPENAI-34404,REPORTED_MULTI_REPO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-18,2025-12-18,priority/08_expanded_git_provenance_dossier.md,UNKNOWN,R(u)=\|u-P_Nu\|^2,r(u)=\|u-p_nu\|^2,UNKNOWN,reported_formula_block;token_overlap=1
