domain,repository,declaration_or_cluster,first_gap_sha,first_gap_date_utc,gap_kind,gap_status,resolution_sha,resolution_status,dependents,evidence_basis,notes
NavierStokes,ShantiDraconis/millennium-navier-stokes-classical,dissipation_integral_bound,5eee6ce82dda31852cd52db61104c42433ec7ae4,2025-11-25T11:37:02Z,True+sorry,PLACEHOLDER,1ae8b318d9c8ab9ebfb59b8719f91c29ca86ac70,REPLACED_BY_AXIOM,"energy-to-critical bridge attempts","audit/17_deep_proof_origin_integral_sweep.md","L2 dissipation alone does not control critical L3 endpoint"
NavierStokes,ShantiDraconis/millennium-navier-stokes-classical,Prodi-Serrin target cluster,5eee6ce82dda31852cd52db61104c42433ec7ae4,2025-11-25T11:37:02Z,True+sorry,PLACEHOLDER,,EXTERNAL_THEOREM_MAP_REQUIRED,"critical continuation logic","audit/17_deep_proof_origin_integral_sweep.md","needs exact theorem import and hypothesis map"
NavierStokes,ShantiDraconis/millennium-navier-stokes-classical,escauriaza_seregin_sverak,5eee6ce82dda31852cd52db61104c42433ec7ae4,2025-11-25T11:37:02Z,True+sorry,PLACEHOLDER,,EXTERNAL_THEOREM_MAP_REQUIRED,"NS-B3; continuation to T*=infinity","audit/17_deep_proof_origin_integral_sweep.md; data/open_bridge_registry.csv","endpoint is external theorem; current missing work is exact hypothesis mapping"
NavierStokes,ShantiDraconis/universal-emergent-logic-,toy_coupling_holds,a762e7b76464656236075548343f596ab8bc6815,2025-12-19T17:38:05Z,sorry,FORMALIZATION_DEBT,,UNRESOLVED,"concrete applicability of quantitative_closure_obstruction","audit/17_deep_proof_origin_integral_sweep.md","abstract obstruction theorem in same file has explicit Lean proof; concrete coupling remains open"
NavierStokes,ShantiDraconis/universal-emergent-logic-,NS geometric coupling application,730aa849b0d76b0202f08b490664aa11c164b2bf,2025-12-19T17:17:28Z,sorry/open analytic steps,OPEN_BRIDGE,,UNRESOLVED,"projection residual closure; B2 directional/critical route","audit/17_deep_proof_origin_integral_sweep.md","must prove NS satisfies required coupling/coercive hypotheses"
NavierStokes,ShantiDraconis/universal-emergent-logic-,ResidualStability NS application,abdaa41189864f85d3b9f8c8fec6b3ec4431eab5,2025-12-19T17:55:31Z,open analytic bridge,OPEN_BRIDGE,,UNRESOLVED,"469910d3... residual evolution; critical norm bridge","audit/17_deep_proof_origin_integral_sweep.md","framework existence is not proof of NS-specific residual contraction"
NavierStokes,ShantiDraconis/navier-stokes-critical-barrier-audit,NS-B2 repository condition -> uniform L3,dcef2a42ff5b3da76a17b32e0fc8176ba33193bd,2026-09,OPEN_BRIDGE,OPEN_BRIDGE,,UNRESOLVED,"NS-B3 ESS endpoint; final global regularity","data/open_bridge_registry.csv","decisive non-circular critical regularity bridge"
NavierStokes,ShantiDraconis/navier-stokes-critical-barrier-audit,NS-B4 epsilon_NS well-defined,dcef2a42ff5b3da76a17b32e0fc8176ba33193bd,2026-09,OPEN_BRIDGE,OPEN_BRIDGE,,UNRESOLVED,"NS-B5 threshold route","data/open_bridge_registry.csv","must handle denominator-degenerate states or restrict domain rigorously"
NavierStokes,ShantiDraconis/navier-stokes-critical-barrier-audit,NS-B5 epsilon_NS threshold controls critical norm,dcef2a42ff5b3da76a17b32e0fc8176ba33193bd,2026-09,OPEN_BRIDGE,OPEN_BRIDGE,,UNRESOLVED,"continuation/global regularity","data/open_bridge_registry.csv","historical 0.65+/-0.05 remains proposal until coercive theorem proved"
NavierStokes,ShantiDraconis/navier-stokes-critical-barrier-audit,NS-B6 correction closure,dcef2a42ff5b3da76a17b32e0fc8176ba33193bd,2026-09,OPEN_BRIDGE,OPEN_BRIDGE,,UNRESOLVED,"projection/residual iteration route","data/open_bridge_registry.csv","must preserve incompressibility, regularity, forcing/support constraints and contract critical defect"
NavierStokes,ShantiDraconis/navier-stokes-critical-barrier-audit,NS-B7 pressure compatibility,dcef2a42ff5b3da76a17b32e0fc8176ba33193bd,2026-09,OPEN_BRIDGE,OPEN_BRIDGE,,UNRESOLVED,"correction/residual architecture","data/open_bridge_registry.csv","pressure cannot be a free cancellation variable"
NavierStokes,ShantiDraconis/navier-stokes-critical-barrier-audit,NS-B9 mean/phase/error -> critical estimate,dcef2a42ff5b3da76a17b32e0fc8176ba33193bd,2026-09,OPEN_BRIDGE,OPEN_BRIDGE,,UNRESOLVED,"continuation theorem","data/open_bridge_registry.csv","zero mean does not imply pointwise/critical smallness"
Riemann,ShantiDraconis/navier-stokes-critical-barrier-audit,RH-B1 certified zeta zero,dcef2a42ff5b3da76a17b32e0fc8176ba33193bd,2026-09,OPEN_BRIDGE,OPEN_BRIDGE,,UNRESOLVED,"RH-B2 tail theorem; RH endpoint","data/open_bridge_registry.csv","symmetry is not zerohood"
Riemann,ShantiDraconis/navier-stokes-critical-barrier-audit,RH-B2 infinite-tail closure,dcef2a42ff5b3da76a17b32e0fc8176ba33193bd,2026-09,OPEN_BRIDGE,OPEN_BRIDGE,,UNRESOLVED,"RH endpoint","data/open_bridge_registry.csv","finite verification cannot close infinite tail"
P_vs_NP,ShantiDraconis/millennium-p-vs-np-classical,formal multiprover skeleton,2cc08bee0675c5a5bb848102f26ccfee67a3d24e,2025-11-25,skeleton,OPEN_BRIDGE,,UNRESOLVED,"later exactification target PNP-B1","audit/20_formal_corpus_commit_sweep.md","architecture does not establish standard P vs NP separation"
P_vs_NP,ShantiDraconis/navier-stokes-critical-barrier-audit,PNP-B1 exactification,dcef2a42ff5b3da76a17b32e0fc8176ba33193bd,2026-09,OPEN_BRIDGE,OPEN_BRIDGE,,UNRESOLVED,"P vs NP endpoint","data/open_bridge_registry.csv","must prove unconditional worst-case statement and address known barrier families"
YangMills,ShantiDraconis/unknown-YM-repo,Lean mass-gap proof structure,fb9a42229479ed8b38199204a9d98fa7b14c6e05,2025-11-25,skeleton,OPEN_BRIDGE,,UNRESOLVED,"YM-B1 constructive QFT + spectral gap","audit/20_formal_corpus_commit_sweep.md","repository name not recovered in current excerpt; SHA retained"
YangMills,ShantiDraconis/navier-stokes-critical-barrier-audit,YM-B1 constructive QFT + positive gap,dcef2a42ff5b3da76a17b32e0fc8176ba33193bd,2026-09,OPEN_BRIDGE,OPEN_BRIDGE,,UNRESOLVED,"Yang-Mills endpoint","data/open_bridge_registry.csv","lattice/numerical gap evidence insufficient"
BSD,ShantiDraconis/unknown-BSD-repo,BSD/Iwasawa proof architecture,f6d70a94e4dc4bd302c1a4c4fe2bd68af26c7115,2025-11-25,skeleton,OPEN_BRIDGE,,UNRESOLVED,"BSD-B1 exact analytic-order/rank equality","audit/20_formal_corpus_commit_sweep.md","repository name not recovered in current excerpt; SHA retained"
BSD,ShantiDraconis/navier-stokes-critical-barrier-audit,BSD-B1 exact order/rank bridge,dcef2a42ff5b3da76a17b32e0fc8176ba33193bd,2026-09,OPEN_BRIDGE,OPEN_BRIDGE,,UNRESOLVED,"BSD endpoint","data/open_bridge_registry.csv","parameter equality is not BSD theorem"
Hodge,ShantiDraconis/navier-stokes-critical-barrier-audit,HODGE-B1 algebraic cycle construction,dcef2a42ff5b3da76a17b32e0fc8176ba33193bd,2026-09,OPEN_BRIDGE,OPEN_BRIDGE,,UNRESOLVED,"Hodge endpoint","data/open_bridge_registry.csv","approximation does not imply algebraicity"
Meta,ShantiDraconis/navier-stokes-critical-barrier-audit,META-B1 fixed-epsilon closeness transitive,dcef2a42ff5b3da76a17b32e0fc8176ba33193bd,2026-09,false specification,INCONSISTENT_SPECIFICATION,,REQUIRES_STATEMENT_REPAIR,"graded-tolerance replacement","data/open_bridge_registry.csv","replace with Close_e x y and Close_d y z -> Close_(e+d) x z"
Meta,ShantiDraconis/navier-stokes-critical-barrier-audit,META-B3 generic forcing extension,dcef2a42ff5b3da76a17b32e0fc8176ba33193bd,2026-09,OPEN_BRIDGE,OPEN_BRIDGE,,UNRESOLVED,"meta forcing claims","data/open_bridge_registry.csv","must implement verified forcing construction or weaken interface"
Priority,ShantiDraconis/navier-stokes-critical-barrier-audit,PRIORITY-B1 worldwide uniqueness,dcef2a42ff5b3da76a17b32e0fc8176ba33193bd,2026-09,OPEN_BRIDGE,OPEN_BRIDGE,,UNRESOLVED,"priority claims","data/open_bridge_registry.csv","audited-corpus anteriority is weaker than first-in-world"
Causality,ShantiDraconis/navier-stokes-critical-barrier-audit,CAUSAL-B1 later work derived from corpus,dcef2a42ff5b3da76a17b32e0fc8176ba33193bd,2026-09,NOT_ESTABLISHED,NOT_ESTABLISHED,,UNRESOLVED,"causal/copying claims","data/open_bridge_registry.csv","chronology plus similarity does not establish access or derivation"
