repository,path_or_scope,sha,date_utc,concept,evidence_class,current_correspondence,verification,limitations
ShantiDraconis/millennium-navier-stokes-I,collapse-algebra.md,34cfb7dbd492bde1f4ecf853f0610058d88b4fed,2025-11-25T05:44:24Z,"collapse algebra revision",COLLAPSE_ALGEBRA_GENEALOGY,"collapse formalization",GITHUB_HISTORY,"Revision."
ShantiDraconis/millennium-navier-stokes-I,collapse-algebra.md,ee1f21b6137324ab6e08d9060c6381823aa2e4a1,2025-11-25T05:47:19Z,"collapse algebra revision",COLLAPSE_ALGEBRA_GENEALOGY,"collapse formalization",GITHUB_HISTORY,"Revision."
ShantiDraconis/millennium-navier-stokes-classical,docs + src/vorticity-tracking.py,d853205ed10e33279327b759adc3135bcd2a262c,2025-11-25T06:34:30Z,"strain tensor; vortex stretching integral; omega-S alignment; xi=omega/|omega|; |grad xi|; high-vorticity mask; BKM; ESS/regularity criteria",DIRECT_G1_PRIMITIVE_PRECURSOR,"S; stretching; direction coherence primitives; high-vorticity region; endpoint criteria",GITHUB_FILE_AND_HISTORY_VERIFIED,"Direct variables are present, but beta=1/2 KWC and signed depletion are not established here."
ShantiDraconis/millennium-navier-stokes-I,navier-stokes-classical.md,e206aeea0e1c3528c6266c4b3e916b2d3d31ffba,2025-11-25T05:58:07Z,"classical NS formulation",CLASSICAL_NS_PRECURSOR,"ActualNS specification",GITHUB_HISTORY,"Documentation."
ShantiDraconis/millennium-navier-stokes-I,formalism documentation,079633d5f7af26576cc9baf0b911e5e0dbdb21f7,2025-11-25T06:18:48Z,"analytical/symbolic NS formalism",FORMALISM_PRECURSOR,"formal statement layer",GITHUB_HISTORY,"Not independently validated proof."
ShantiDraconis/millennium-navier-stokes-classical,MainTheorem.py,be02b6d0e080620eb948623734372699d84039f4,2025-11-25T11:09:50Z,"Clay NS theorem statement T3",TARGET_STATEMENT_ANCHOR,"official-target alignment",GITHUB_HISTORY,"Statement implementation, not proof."
ShantiDraconis/millennium-navier-stokes-I,PR7 merge,12f8b424646fba8e278a99f7cf350f3d2c7eb09e,2025-11-25T15:37:49Z,"complete analytical functional geometric formulation with marked gaps",GAP_AWARE_GEOMETRIC_FRAMEWORK,"current open-bridge methodology",GITHUB_HISTORY,"Marked gaps are positive audit evidence; theorem remains open."
ShantiDraconis/millennium-navier-stokes-I,PR5 merge,4ad6cf294f266c764ac160ded72ea6d92d1e42d2,2025-11-25T15:45:09Z,"I-Collapse symbolic framework for NS regularity",COLLAPSE_FRAMEWORK_PRECURSOR,"collapse layer",GITHUB_HISTORY,"Symbolic framework."
ShantiDraconis/millennium-navier-stokes-I,PR3 merge,63b248dd29f1817c457acdb00e116e2e9b0687cc,2025-11-25T15:47:20Z,"formal framework for Navier-Stokes collapse theory",VERIFIED_COLLAPSE_FRAMEWORK_ANCHOR,"formal collapse / continuation architecture",SIGNED_GITHUB_MERGE,"WIP label must be preserved."
ShantiDraconis/millennium-navier-stokes-classical,Lean/Coq/Isabelle + docs/navier-blowup-analysis.md,cca881c665f67c67d96a4f84371fb51cd9c858a0,2025-11-25T21:04:43Z,"multiprover formalization; alignment with stretching eigenvector; Constantin-Fefferman direction criterion",DIRECTIONAL_GEOMETRY_AND_FORMALIZATION,"alignment/depletion route; formal proof infrastructure",GITHUB_PATH_HISTORY_VERIFIED,"Historical statements require theorem-by-theorem correctness audit."
ShantiDraconis/millennium-navier-stokes-classical,formal/agda/NavierStokes.agda,ee504cc804e205a9a2e76c6c86689aaea4c6ea84,2025-11-25T21:09:52Z,"Agda endpoint ESS interface + multiprover extension",MULTIPROVER_ENDPOINT_PRECURSOR,"Linf_t L3_x -> regularity endpoint",GITHUB_PATH_HISTORY_VERIFIED,"Interface/postulate is not independent proof of ESS."
ShantiDraconis/millennium-navier-stokes-classical,functional spaces,53c91d97c2ace924b4436825f3a53aa67ab87ad7,2025-11-26T08:56:06Z,"I-extended critical functional spaces",CRITICAL_SPACE_PRECURSOR,"critical-space layer",GITHUB_HISTORY,"Framework status."
ShantiDraconis/millennium-navier-stokes-classical,Lean + LaTeX,33adee1cd0759e386a9b7d6abbd5b1c0b6fedb05,2025-11-26T09:00:15Z,"energy non-negativity",ENERGY_BLOCK,"energy/enstrophy side",GITHUB_HISTORY,"Elementary/formal block, not closure."
ShantiDraconis/millennium-navier-stokes-classical,merge PR8,867045e966812b50b2304f0460288cf6449d8221,2025-11-26T09:35:34Z,"I-Extended Functional Spaces Framework",SIGNED_CRITICAL_SPACE_ANCHOR,"critical-space provenance",SIGNED_GITHUB_MERGE,"Strong timestamp anchor."
ShantiDraconis/Meta-mathematical-foundation-00,millennium-applications/navier-stokes-application.md,df27fcd29e8712a80870e1ed559f9493819d3ae5,2025-12-01T20:19:09Z,"NS application inside meta-mathematical foundation",CROSS_REPO_PROPAGATION,"collapse/critical-object architecture propagation",GITHUB_PATH_HISTORY_VERIFIED,"Meta-framework provenance, not proof."
ShantiDraconis/Millennium,Riemann-Navier-Stokes Delta framework,17686f99ff0b79711cbd3d2eac39261ac5d9c6c1,2025-12-02T21:36:26Z,"cross-problem Delta framework",CROSS_PROBLEM_STRUCTURAL_PRECURSOR,"obstruction/delta architecture",GITHUB_HISTORY,"Analogy/correspondence needs mathematical audit."
ShantiDraconis/Millennium,RH-NS Delta correspondence,09a64f76154950d1180482a3aeca1d3259b64554,2025-12-02T21:39:43Z,"RH-NS correspondence",CROSS_PROBLEM_STRUCTURAL_PRECURSOR,"obstruction architecture",GITHUB_HISTORY,"Does not establish equivalence without proof."
ShantiDraconis/Millennium,problems/Poincare/local-global-bridge.md,2dcd1fcf5d9dc8c87405c5c2af80e08c00f21c0b,2025-12-04T18:43:53Z,"Perelman F/W entropy; monotonicity; kappa-noncollapse; canonical neighborhoods; surgery; local-to-global; explicit NS analogy and proposed strategy transfer",PERELMAN_TEMPLATE_PRECURSOR,"TypedEntropy + Noncollapse + CriticalDecomposition/Surgery + global bridge",GITHUB_PATH_AND_CONTENT_VERIFIED,"This is an explicit template/analogy, not an NS derivation of Perelman entropy."
ShantiDraconis/Millennium,unified Delta collapse,a1091bb4f197d47b9f98d61d8e3a6df265f322bd,2025-12-06T13:46:41Z,"main delta collapse formalization and unified millennium paper",UNIFIED_OBSTRUCTION_PRECURSOR,"obstruction/closure architecture",GITHUB_HISTORY,"Requires statement audit."
ShantiDraconis/Universe-0-0,LRE Projection Framework NS dossier,f900684c3785ffbd9707291225b2c1751ae3e3eb,2025-12-18T20:20:34Z,"projection/residue framework with NS dossier",INDEPENDENT_REPO_LRE_ANCHOR,"pi/R architecture",GITHUB_HISTORY,"Cross-repo timestamp strengthens fragmentation/proliferation evidence."
ShantiDraconis/Millennium,docs/navier-stokes/lre_framework.md,4af517e3f1ea5d04be1c6bbd8953209fa2139e82,2025-12-18T20:25:20Z,"C,D,pi,iota,R; critical residual; informational residual; LP cascade residual; regularity bridge",STRONG_STRUCTURAL_PRECURSOR,"subcritical data -> critical object -> obstruction -> endpoint",GITHUB_PATH_AND_CONTENT_VERIFIED,"Some theorem claims require independent correctness audit."
ShantiDraconis/Millennium,NS LRE dossier,54a13fedc2149f4368959d5694fd077010684f58,2025-12-18T20:49:42Z,"compression barrier theorem dossier",LRE_CLOSURE_GENEALOGY,"obstruction layer",GITHUB_HISTORY,"Not equivalent to global NS proof."
ShantiDraconis/Millennium,NS LRE integration guide,93af0514148ada7b69c822d690d589c5a27e0b8b,2025-12-18T20:51:22Z,"integration of LRE dossier",INTEGRATION_GENEALOGY,"unification of fragments",GITHUB_HISTORY,"Documentation integration."
ShantiDraconis/Millennium,NAVIER_STOKES_LRE_SUMMARY.md,003eaba057081f262ea40cea0ab698af43109151,2025-12-18T20:52:49Z,"projection + critical residual + compression barrier + bridge; Lean module; explicit limitations",VERY_STRONG_STRUCTURAL_PRECURSOR,"current critical-barrier architecture",GITHUB_PATH_AND_CONTENT_VERIFIED,"Document itself says it does not solve global regularity."
ShantiDraconis/Millennium,LaTeX + Lean LRE,5a888677611ec79eb959f368e941699217487c2d,2025-12-18T20:55:16Z,"compression barrier formalization",FORMALIZATION_GENEALOGY,"formal audit layer",GITHUB_HISTORY,"Compile/proof-escape status requires exact historical build audit."
ShantiDraconis/Millennium,formal closure docs,b9b4768206ee3d817cbbaf35bb7da92dc835c4e1,2025-12-18T21:03:07Z,"complete NS formal closure documentation",FORMAL_CLOSURE_GENEALOGY,"critical residual closure program",GITHUB_HISTORY,"Historical 'complete' wording is documentary, not validation."
ShantiDraconis/Millennium,NAVIER_STOKES_FORMAL_CLOSURE.md,5fcf3fc5140ee231bc0b3d3fbbe699c4ad84a50b,2025-12-18T21:04:32Z,"pi noninjective -> no energy-only R control -> critical bridge -> need new blocking principle; helicity/topology/geometric level sets",CLOSEST_2025_CLOSURE_ARCHITECTURE,"blocking principle -> later geometry/depletion strategy",GITHUB_PATH_AND_CONTENT_VERIFIED,"No KWC or signed depletion theorem yet."
ShantiDraconis/Millennium,LRE-NS closure,0d601255e51be349a1fd38eacfcbd2fda17ced77,2025-12-18T23:03:05Z,"formal closure framework",FORMAL_CLOSURE_GENEALOGY,"closure architecture",GITHUB_HISTORY,"Requires theorem audit."
ShantiDraconis/Millennium,completion summary,d1c29035c449cc213ac822afaeb3c213b04da39f,2025-12-18T23:08:39Z,"closure summary",FORMAL_CLOSURE_GENEALOGY,"closure architecture",GITHUB_HISTORY,"Summary only."
ShantiDraconis/Millennium,merge formalize NS,dfa3942f527f54ce92e61c9756052379b56e733e,2025-12-19T00:47:01Z,"formalize LRE-NS closure / structural impossibility",MERGED_FORMALIZATION,"formal obstruction",GITHUB_HISTORY,"Timestamp normalized from +01:00."
ShantiDraconis/Millennium,merge formal completion,b7e9fd22fb6ac794589e2ee65aeedf37f56e323e,2025-12-19T00:47:45Z,"energy-based proof obstruction",MERGED_FORMALIZATION,"need critical/geometric information",GITHUB_HISTORY,"No global NS proof."
ShantiDraconis/universal-emergent-logic-,docs/lre-examples/navier-stokes-specialization.md,294141b0f13a015da92b25880d67a765f7150f14,2025-12-19T13:26:07Z,"Hdot1/2 critical residual; scale invariance; concentration; Littlewood-Paley route; seek new observable J; gradient flows",CRITICAL_MULTISCALE_SPECIALIZATION,"critical-scale / LP / new monotone-observable search",GITHUB_PATH_AND_CONTENT_VERIFIED,"Several historical theorem claims are overstrong; use as provenance only."
ShantiDraconis/universal-emergent-logic-,LRE core implementation,f5d070d49557622c7168cd7b354d5d9629ce3fc6,2025-12-19T13:35:07Z,"projective systems; residues; critical exponents; NS operator",UNIVERSAL_LRE_IMPLEMENTATION,"residual/critical framework",GITHUB_HISTORY,"Implementation provenance."
ShantiDraconis/Universe-0-0,merge NS LRE framework,d35d6b02bbf17e4453ed9460ff527f7c5a758e86,2025-12-19T13:18:00Z,"LRE structural residue NS regularity framework",INDEPENDENT_REPO_PROPAGATION,"projection/residual architecture",GITHUB_HISTORY,"Timestamp normalized from +01:00."
ShantiDraconis/universal-emergent-logic-,NS geometric decomposition + Lean coupling,730aa849b0d76b0202f08b490664aa11c164b2bf,2025-12-19T17:17:28Z,"quantitative obstruction; NS geometric decomposition; coupling hypothesis",GEOMETRIC_DECOMPOSITION_PRECURSOR,"geometric decomposition / explicit coupling bridge",GITHUB_HISTORY,"Coupling hypothesis may encode an open bridge."
ShantiDraconis/universal-emergent-logic-,NS curvature theory,e68f81b2ad71eb7cef67ec09971891f2899cd5ce,2025-12-19T17:31:15Z,"curvature/geometric LRE formalization",GEOMETRIC_FRAMEWORK_PRECURSOR,"geometric critical structure",GITHUB_HISTORY,"Not KWC proof."
ShantiDraconis/universal-emergent-logic-,residual stability,1ed0ded98d26966189fc5936914fd964d42cbd7a,2025-12-19T17:43:21Z,"Residual Stability Inequality",STABILITY_INEQUALITY_GENEALOGY,"differential/control inequality layer",GITHUB_HISTORY,"Exact assumptions must be audited."
ShantiDraconis/universal-emergent-logic-,residual stability phases,0f3ae4e275068f81f516b45b14289dd1a699e659,2025-12-19T17:50:43Z,"phases 1-3 NS residual stability",STABILITY_INEQUALITY_GENEALOGY,"control program",GITHUB_HISTORY,"Exact proof status pending."
ShantiDraconis/universal-emergent-logic-,residual stability inequality,4cb3cd8ae5d24d5b79825346fb59ed47ff95bc9f,2025-12-19T17:54:15Z,"Residual Stability Inequality",STABILITY_INEQUALITY_GENEALOGY,"control inequality",GITHUB_HISTORY,"Exact proof status pending."
ShantiDraconis/universal-emergent-logic-,comprehensive residual stability,abdaa41189864f85d3b9f8c8fec6b3ec4431eab5,2025-12-19T17:55:31Z,"comprehensive NS residual stability",STABILITY_INEQUALITY_GENEALOGY,"control inequality",GITHUB_HISTORY,"Exact proof status pending."
ShantiDraconis/universal-emergent-logic-,residual stability completion,3d4d3e51866e03420e97ff3b21dde2a1fca1cc4d,2025-12-19T18:03:42Z,"residual stability inequality completion",STABILITY_INEQUALITY_GENEALOGY,"control inequality",GITHUB_HISTORY,"Historical completion wording does not certify open mathematics."
ShantiDraconis/universal-emergent-logic-,LRE core ontology,7696053864cd54d899dc1785a0b6ed98baf46515,2025-12-19T20:05:17Z,"LRE ontology + NS reformulation",ONTOLOGY_PRECURSOR,"typed architecture",GITHUB_HISTORY,"Framework."
ShantiDraconis/universal-emergent-logic-,NS kappa reformulation,2ceba2ac14e9541561d76307af538ed91817c2af,2025-12-19T20:17:38Z,"Navier-Stokes kappa reformulation",KAPPA_STRUCTURAL_PRECURSOR,"noncollapse-like scaling terminology / critical control",GITHUB_HISTORY,"Do not equate historical kappa with Perelman kappa-noncollapse without exact theorem equivalence."
ShantiDraconis/universal-emergent-logic-,three-lemma NS proof framework,ace0acc3abd1067cd63bd94adfeffa962977bc9b,2025-12-19T20:23:05Z,"NS LRE proof framework with three lemmas",PROOF_DAG_PRECURSOR,"modular closure architecture",GITHUB_HISTORY,"Lemma validity pending exact audit."
ShantiDraconis/universal-emergent-logic-,geometric blow-up framework merge,8b1aedfdd81b188b7b3d9ba91c9fbf4f0a47cda1,2025-12-20T20:15:27Z,"geometric frameworks for NS blow-up via residual curvature",GEOMETRIC_BLOWUP_PRECURSOR,"singularity geometry",GITHUB_HISTORY,"Not a blow-up proof."
ShantiDraconis/universal-emergent-logic-,Lean residual stability merge,203ce4ff62809fbcf403ee03e89c3bc70ed608ec,2025-12-20T20:16:32Z,"Formalize Residual Stability Inequality in Lean 4",FORMAL_STABILITY_GENEALOGY,"conditional differential inequality",GITHUB_HISTORY,"Need proof-escape and compile audit."
ShantiDraconis/Millennium,universal-core/operators/residual_functional.md,c953fc264b58a0631d65f996f2e37e216134bd01,2025-12-26T03:04:56Z,"scale projection; residual; normalization; multiscale energy",UNIVERSAL_MULTISCALE_PRECURSOR,"LP/high-low/critical-scale architecture",GITHUB_PATH_HISTORY_VERIFIED,"General framework, not NS theorem."
ShantiDraconis/Millennium,umi-core-axioms/operators/residual_functional.md,6ece68cdf4175760bd187ca19f4a3b8f2d33f750,2025-12-26T03:24:11Z,"multidimensional geometry and operator framework",GEOMETRIC_MULTISCALE_PRECURSOR,"geometry-weighted diagnostics / multiscale operators",GITHUB_PATH_HISTORY_VERIFIED,"General framework."
ShantiDraconis/Millennium,multidimensional framework + NS adapter,5c70d6c2427739d5afaf6c9790072a917f51fc32,2025-12-26T03:29:30Z,"multidimensional framework and NS adapter",NS_MULTISCALE_ADAPTER,"problem-specific multiscale specialization",GITHUB_HISTORY,"Exact adapter theorem status pending."
ShantiDraconis/Millennium,universal-core residual refinement,28b7e98a80de123b7805fca2a925a684d998fe2b,2025-12-26T13:44:56Z,"alpha/residual scaling refinement",RESIDUAL_SCALING_REFINEMENT,"critical exponent/scaling layer",GITHUB_PATH_HISTORY_VERIFIED,"Refinement only."
