evidence_id,claim_id,object_id,source_type,source_identifier,source_url,repository,commit_sha,blob_sha,file_path,line_range,assertion,status,verification_method,directly_observed,independent_timestamp,publicly_accessible,event_date,verification_date,supports_priority,supports_equivalence,supports_causation,confidence,limitations,required_next_action
EVID-011,CLAIM-ZENODO-15164501-FILES,ZENODO:15164501#FILES,repository_metadata_plus_failed_access,evidence/zenodo_records.yaml + direct-access failure,https://zenodo.org/records/15164501,EXTERNAL:ZENODO,UNKNOWN,UNKNOWN,evidence/zenodo_records.yaml,18-21,The exact Zenodo file list for DOI 10.5281/zenodo.15164501 has not been directly captured in this audit.,MISSING,The audit metadata records the field as unknown and direct Zenodo access was unavailable.,NO,NO,UNKNOWN,UNKNOWN,2026-09-11,NO,NO,NO,HIGH,"Without file names, the deposit cannot be compared document-by-document against later GitHub materials.",Capture the record file list from the Zenodo page or API.
EVID-012,CLAIM-ZENODO-15164501-CHECKSUMS,ZENODO:15164501#CHECKSUMS,repository_metadata_plus_failed_access,evidence/zenodo_records.yaml + direct-access failure,https://zenodo.org/records/15164501,EXTERNAL:ZENODO,UNKNOWN,UNKNOWN,evidence/zenodo_records.yaml,18-21,The exact Zenodo file checksum set for DOI 10.5281/zenodo.15164501 has not been directly captured in this audit.,MISSING,The audit metadata records the checksum as unknown and direct Zenodo access was unavailable.,NO,NO,UNKNOWN,UNKNOWN,2026-09-11,NO,NO,NO,HIGH,"Without checksums, later forensic identity and file-integrity comparisons remain incomplete.",Capture the Zenodo file checksums directly from the primary source.
EVID-013,CLAIM-ZENODO-15164501-RELATIONS,ZENODO:15164501#RELATIONSHIPS,repository_metadata_plus_failed_access,priority/12_zenodo_public_prior_art_dossier.md + direct-access failure,https://zenodo.org/records/15164501,EXTERNAL:ZENODO,UNKNOWN,UNKNOWN,priority/12_zenodo_public_prior_art_dossier.md,194-205,"Related identifiers, version relationships, and linked-record metadata for DOI 10.5281/zenodo.15164501 are not yet established in this audit.",MISSING,The dossier explicitly lists related identifiers as a pending direct-capture target and primary-source access remained unavailable.,NO,NO,UNKNOWN,UNKNOWN,2026-09-11,NO,NO,NO,HIGH,"Without relation metadata, genealogy between Zenodo records cannot be established.",Capture Zenodo relation fields from the API or archived metadata.
EVID-014,CLAIM-ZENODO-15164501-TEMPORAL-INFERENCE,ZENODO:15164501#TEMPORAL_PRIORITY,inference_from_mixed_sources,Reported 2025-04-06 Zenodo date + repository timeline of later GitHub anchors,https://zenodo.org/records/15164501,MIXED,MIXED,MIXED,evidence/zenodo_records.yaml; TIMELINE.md; evidence/commits.yaml,evidence/zenodo_records.yaml:11-17; TIMELINE.md:3-18; evidence/commits.yaml:2-118,"If the reported Zenodo date is accurate, DOI 10.5281/zenodo.15164501 is earlier than the currently logged November 2025 private GitHub anchors and is therefore a candidate earliest public anchor.",INFERRED,Chronology comparison derived from a reported Zenodo date plus repository commit timeline.,NO,NO,UNKNOWN,2025-04-06,2026-09-11,YES,NO,NO,MEDIUM,This cannot support a strong documentary priority statement until the Zenodo public timestamp is independently verified.,"Verify the Zenodo date directly, then recompute public-priority conclusions."
EVID-015,CLAIM-ZENODO-15164501-EQUIVALENCE,ZENODO:15164501#MATHEMATICAL_MATCH,gap_statement,priority/12_zenodo_public_prior_art_dossier.md,https://zenodo.org/records/15164501,REPO:AUDIT_CURRENT,PENDING,PENDING,priority/12_zenodo_public_prior_art_dossier.md,182-205,No file-level comparison currently establishes mathematical equivalence between the April 2025 Zenodo deposit and the later December 2025 LRE/projection/coupling chain.,MISSING,The dossier explicitly preserves the comparison as pending and no direct deposit file capture exists in this environment.,NO,NO,UNKNOWN,UNKNOWN,2026-09-11,NO,NO,NO,HIGH,"Titles, subjects, and chronology cannot substitute for content comparison.",Capture the deposit files and compare them line-by-line against the candidate GitHub anchors.
EVID-016,CLAIM-ZENODO-17204147-ROLE,ZENODO:17204147,repository_metadata,evidence/zenodo_records.yaml,https://zenodo.org/records/17204147,REPO:AUDIT_CURRENT,PENDING,PENDING,evidence/zenodo_records.yaml,45-50,The current audit retains https://zenodo.org/records/17204147 only as UNVERIFIED_RELATED_ZENODO.,VERIFIED,Directly observed in the working tree audit metadata file.,YES,NO,UNKNOWN,2026-09-11,2026-09-11,NO,NO,NO,HIGH,"This is an internal audit classification, not primary-source verification of the external record.",Do not promote the record without direct Zenodo verification.
EVID-017,CLAIM-ZENODO-17204147-TITLE,ZENODO:17204147#TITLE,secondary_search_report,Research-agent secondary search result,https://zenodo.org/records/17204147,EXTERNAL:ZENODO,UNKNOWN,UNKNOWN,evidence/zenodo_records.yaml,51-66,"The reported title for https://zenodo.org/records/17204147 is Navier–Stokes Existence and Smoothness: A Hybrid Approach Integrating Symbolic Reformulation, Functional Analysis, and Certified Computation (Copy).",REPORTED,Retained from a secondary-search report only; the Zenodo primary source was not directly accessible here.,YES,NO,UNKNOWN,UNKNOWN,2026-09-11,NO,NO,NO,LOW,"This title must not be treated as independently verified and does not establish genealogy, N7, or equivalence.",Verify the title directly from the Zenodo primary source before using it for any substantive inference.
EVID-018,CLAIM-ZENODO-N7-SOURCE,ZENODO:N7_EXPERIMENTAL_VALIDATION,missing_target_register,evidence/zenodo_records.yaml,UNKNOWN,REPO:AUDIT_CURRENT,PENDING,PENDING,evidence/zenodo_records.yaml,68-76,"No concrete primary-source DOI, record URL, file set, or metadata packet has been identified for the alleged specific experimental validation of Navier-Stokes N7.",MISSING,The target is explicitly registered as missing and no primary-source record was located in the current environment.,NO,NO,NO,UNKNOWN,2026-09-11,NO,NO,NO,HIGH,"Similarity of titles, subjects, dates, or neighboring records is not treated as evidence of identity.",Locate a concrete primary source before making any N7 linkage claim.
EVID-019,CLAIM-ZENODO-N7-RELATIONSHIP,ZENODO:N7_EXPERIMENTAL_VALIDATION#RELATIONSHIP,missing_target_register,evidence/zenodo_records.yaml,UNKNOWN,REPO:AUDIT_CURRENT,PENDING,PENDING,evidence/zenodo_records.yaml,69-76,RELATIONSHIP = NOT_ESTABLISHED for any linkage between the alleged N7 validation source and the currently logged Zenodo records.,MISSING,The audit explicitly records the relationship as not established and no primary-source linkage evidence was found.,NO,NO,NO,UNKNOWN,2026-09-11,NO,NO,NO,HIGH,"No inference is drawn from title similarity, subject overlap, dates, repository references, or nearby record numbers.",Keep N7 unlinked until a concrete primary source is identified and verified.
EVID-020,CLAIM-ZENODO-SOURCE-INDEPENDENCE,ZENODO:15164501#SOURCE_INDEPENDENCE,source_dependence_analysis,Cross-file dependence review of repo-derived Zenodo metadata,https://zenodo.org/records/15164501,REPO:AUDIT_CURRENT,PENDING,PENDING,evidence/zenodo_records.yaml; priority/12_zenodo_public_prior_art_dossier.md; evidence/external_publications/README.md; TIMELINE.md,"evidence/zenodo_records.yaml:2-44; priority/12_zenodo_public_prior_art_dossier.md:22-39,163-180; evidence/external_publications/README.md:5-14,24-27; TIMELINE.md:3-7","Multiple repository files repeating the same Zenodo metadata for DOI 10.5281/zenodo.15164501 count as one dependent reported source, not independent corroboration.",INFERRED,Compared repeated repository statements and found no independent primary-source capture behind them in the current environment.,NO,NO,UNKNOWN,2026-09-11,2026-09-11,NO,NO,NO,HIGH,This conclusion is limited to the current repository and current environment; future primary-source capture could change the dependence analysis.,Preserve a single-source model until an independent Zenodo capture or archive is added.
